parent,name*,displayName,description,synonyms,relatedTerms,references,tags,reviewers,owner,glossaryStatus,extension
,Hồ sơ cấp giấy phép khảo nghiệm thuốc bảo vệ thực vật,Hồ sơ cấp giấy phép khảo nghiệm thuốc bảo vệ thực vật,"Tổ chức, cá nhân nộp hồ sơ đề nghị đăng ký cấp giấy phép khảo nghiệm để đăng ký chính thức cho một tên thương phẩm (thuốc bảo vệ thực vật)",,,,,,user:admin,Approved,"codeDocuments:""- Quyết định 1227/QĐ-TTTV-VP ngày 16/5/2025 quy định chức năng, nhiệm vụ, quyền hạn của phòng Quản lý thuốc BVTV thuộc Cục Trồng trọt và Bảo vệ thực vật  '- Quyết định 1000/QĐ-BNNMT ngày 22/4/2025 về việc công bố chuẩn hóa thủ tục hành chính lĩnh vực trồng trọt và bảo vệ thực vật thuộc phạm vi chức năng quản lý nhà nước của Bộ Nông Nghiệp và Môi trường"";confidentialData:Không;corePersonalData:Không;dataReadiness:1. Có dữ liệu, chưa hệ thống;dataSource:""Hồ sơ giấy"";frequency:""Hàng ngày"";functionsAndDuties:""Cấp Giấy phép khảo nghiệm thuốc bảo vệ thực vật để đăng ký Chính thức"";id:I.1;importantData:Không;masterData:Không;nameSurveyUnit:""Phòng quản lý thuốc bảo vệ thực vật"";nationalConfidentialData:Không;openData:Không;referenceData:Không;sensitivePersonalData:Không;unit:""Hồ sơ"""
,Đơn đề nghị cấp Giấy phép khảo nghiệm thuốc bảo vệ thực vật ,Đơn đề nghị cấp Giấy phép khảo nghiệm thuốc bảo vệ thực vật ,Theo mẫu quy định tại Phụ lục I ban hành kèm theo Thông tư số 21/2015/TT-BNNPTNT,,,,,,user:admin,Approved,"codeDocuments:""- Quyết định 1227/QĐ-TTTV-VP ngày 16/5/2025 quy định chức năng, nhiệm vụ, quyền hạn của phòng Quản lý thuốc BVTV thuộc Cục Trồng trọt và Bảo vệ thực vật  '- Quyết định 1000/QĐ-BNNMT ngày 22/4/2025 về việc công bố chuẩn hóa thủ tục hành chính lĩnh vực trồng trọt và bảo vệ thực vật thuộc phạm vi chức năng quản lý nhà nước của Bộ Nông Nghiệp và Môi trường"";confidentialData:Không;corePersonalData:Không;dataReadiness:1. Có dữ liệu, chưa hệ thống;dataSource:""Hồ sơ giấy"";frequency:""Hàng ngày"";functionsAndDuties:""Cấp Giấy phép khảo nghiệm thuốc bảo vệ thực vật để đăng ký Chính thức"";id:1.1;importantData:Không;masterData:Không;nameSurveyUnit:""Phòng quản lý thuốc bảo vệ thực vật"";nationalConfidentialData:Không;openData:Không;referenceData:Không;sensitivePersonalData:Không;unit:Tờ"
,"Thông tin tên tổ chức, cá nhân đăng ký","Thông tin tên tổ chức, cá nhân đăng ký","Tên của tổ chức, cá nhân theo giấy phép kinh doanh, dùng để đăng ký giấy phép khảo nghiệm thuốc bảo vệ thực vật",,,,,,user:admin,Approved,"codeDocuments:""- Quyết định 1227/QĐ-TTTV-VP ngày 16/5/2025 quy định chức năng, nhiệm vụ, quyền hạn của phòng Quản lý thuốc BVTV thuộc Cục Trồng trọt và Bảo vệ thực vật  '- Quyết định 1000/QĐ-BNNMT ngày 22/4/2025 về việc công bố chuẩn hóa thủ tục hành chính lĩnh vực trồng trọt và bảo vệ thực vật thuộc phạm vi chức năng quản lý nhà nước của Bộ Nông Nghiệp và Môi trường"";confidentialData:Không;corePersonalData:Có;dataReadiness:1. Có dữ liệu, chưa hệ thống;dataSource:""Hồ sơ giấy"";frequency:""Hàng ngày"";functionsAndDuties:""Cấp Giấy phép khảo nghiệm thuốc bảo vệ thực vật để đăng ký Chính thức"";id:1.1.1;importantData:Không;masterData:Không;nameSurveyUnit:""Phòng quản lý thuốc bảo vệ thực vật"";nationalConfidentialData:Không;openData:Không;referenceData:Không;sensitivePersonalData:Không"
,"Thông tin địa chỉ tổ chức, cá nhân đăng ký","Thông tin địa chỉ tổ chức, cá nhân đăng ký","Địa chỉ của tổ chức, cá nhân theo giấy phép kinh doanh, dùng để đăng ký giấy phép khảo nghiệm thuốc bảo vệ thực vật",,,,,,user:admin,Approved,"codeDocuments:""- Quyết định 1227/QĐ-TTTV-VP ngày 16/5/2025 quy định chức năng, nhiệm vụ, quyền hạn của phòng Quản lý thuốc BVTV thuộc Cục Trồng trọt và Bảo vệ thực vật  '- Quyết định 1000/QĐ-BNNMT ngày 22/4/2025 về việc công bố chuẩn hóa thủ tục hành chính lĩnh vực trồng trọt và bảo vệ thực vật thuộc phạm vi chức năng quản lý nhà nước của Bộ Nông Nghiệp và Môi trường"";confidentialData:Không;corePersonalData:Có;dataReadiness:1. Có dữ liệu, chưa hệ thống;dataSource:""Hồ sơ giấy"";frequency:""Hàng ngày"";functionsAndDuties:""Cấp Giấy phép khảo nghiệm thuốc bảo vệ thực vật để đăng ký Chính thức"";id:1.1.2;importantData:Không;masterData:Không;nameSurveyUnit:""Phòng quản lý thuốc bảo vệ thực vật"";nationalConfidentialData:Không;openData:Không;referenceData:Không;sensitivePersonalData:Không"
,Tên thương phẩm ,Tên thương phẩm ,"Tên thương phẩm không được làm hiểu sai lệch về bản chất và công dụng của thuốc; không được vi phạm thuần phong mỹ tục truyền thống của Việt Nam; không trùng cách đọc hoặc cách viết với tên của lãnh tụ, anh hùng dân tộc, danh nhân, địa danh của Việt Nam hoặc nước ngoài, các loại thực phẩm, đồ uống, dược phẩm",,,,,,user:admin,Approved,"codeDocuments:""- Quyết định 1227/QĐ-TTTV-VP ngày 16/5/2025 quy định chức năng, nhiệm vụ, quyền hạn của phòng Quản lý thuốc BVTV thuộc Cục Trồng trọt và Bảo vệ thực vật  '- Quyết định 1000/QĐ-BNNMT ngày 22/4/2025 về việc công bố chuẩn hóa thủ tục hành chính lĩnh vực trồng trọt và bảo vệ thực vật thuộc phạm vi chức năng quản lý nhà nước của Bộ Nông Nghiệp và Môi trường"";confidentialData:Không;corePersonalData:Không;dataReadiness:1. Có dữ liệu, chưa hệ thống;dataSource:""Hồ sơ giấy"";frequency:""Hàng ngày"";functionsAndDuties:""Cấp Giấy phép khảo nghiệm thuốc bảo vệ thực vật để đăng ký Chính thức"";id:1.1.3;importantData:Không;masterData:Không;nameSurveyUnit:""Phòng quản lý thuốc bảo vệ thực vật"";nationalConfidentialData:Không;openData:Không;referenceData:Không;sensitivePersonalData:Không"
,"Hoạt chất, hàm lượng hoạt chất, đơn vị tính","Hoạt chất, hàm lượng hoạt chất, đơn vị tính",chất hoặc thành phần hữu hiệu có hoạt tính sinh học của thuốc bảo vệ thực vật.,,,,,,user:admin,Approved,"codeDocuments:""- Quyết định 1227/QĐ-TTTV-VP ngày 16/5/2025 quy định chức năng, nhiệm vụ, quyền hạn của phòng Quản lý thuốc BVTV thuộc Cục Trồng trọt và Bảo vệ thực vật  '- Quyết định 1000/QĐ-BNNMT ngày 22/4/2025 về việc công bố chuẩn hóa thủ tục hành chính lĩnh vực trồng trọt và bảo vệ thực vật thuộc phạm vi chức năng quản lý nhà nước của Bộ Nông Nghiệp và Môi trường"";confidentialData:Không;corePersonalData:Không;dataReadiness:1. Có dữ liệu, chưa hệ thống;dataSource:""Hồ sơ giấy"";frequency:""Hàng ngày"";functionsAndDuties:""Cấp Giấy phép khảo nghiệm thuốc bảo vệ thực vật để đăng ký Chính thức"";id:1.1.4;importantData:Không;masterData:Không;nameSurveyUnit:""Phòng quản lý thuốc bảo vệ thực vật"";nationalConfidentialData:Không;openData:Không;referenceData:Không;sensitivePersonalData:Không"
,Tên nhà sản xuất ,Tên nhà sản xuất ,Tên nhà sản xuất ra loại thuốc đề nghị đăng ký theo văn bản xác nhận là nhà sản xuất do cơ quan có thẩm quyền của nước sở tại cấp,,,,,,user:admin,Approved,"codeDocuments:""- Quyết định 1227/QĐ-TTTV-VP ngày 16/5/2025 quy định chức năng, nhiệm vụ, quyền hạn của phòng Quản lý thuốc BVTV thuộc Cục Trồng trọt và Bảo vệ thực vật  '- Quyết định 1000/QĐ-BNNMT ngày 22/4/2025 về việc công bố chuẩn hóa thủ tục hành chính lĩnh vực trồng trọt và bảo vệ thực vật thuộc phạm vi chức năng quản lý nhà nước của Bộ Nông Nghiệp và Môi trường"";confidentialData:Không;corePersonalData:Có;dataReadiness:1. Có dữ liệu, chưa hệ thống;dataSource:""Hồ sơ giấy"";frequency:""Hàng ngày"";functionsAndDuties:""Cấp Giấy phép khảo nghiệm thuốc bảo vệ thực vật để đăng ký Chính thức"";id:1.1.5;importantData:Không;masterData:Không;nameSurveyUnit:""Phòng quản lý thuốc bảo vệ thực vật"";nationalConfidentialData:Không;openData:Không;referenceData:Không;sensitivePersonalData:Không"
,Địa chỉ nơi sản xuất,Địa chỉ nơi sản xuất,địa chỉ nhà sản xuất ra loại thuốc đề nghị đăng ký theo văn bản xác nhận là nhà sản xuất do cơ quan có thẩm quyền của nước sở tại cấp,,,,,,user:admin,Approved,"codeDocuments:""- Quyết định 1227/QĐ-TTTV-VP ngày 16/5/2025 quy định chức năng, nhiệm vụ, quyền hạn của phòng Quản lý thuốc BVTV thuộc Cục Trồng trọt và Bảo vệ thực vật  '- Quyết định 1000/QĐ-BNNMT ngày 22/4/2025 về việc công bố chuẩn hóa thủ tục hành chính lĩnh vực trồng trọt và bảo vệ thực vật thuộc phạm vi chức năng quản lý nhà nước của Bộ Nông Nghiệp và Môi trường"";confidentialData:Không;corePersonalData:Có;dataReadiness:1. Có dữ liệu, chưa hệ thống;dataSource:""Hồ sơ giấy"";frequency:""Hàng ngày"";functionsAndDuties:""Cấp Giấy phép khảo nghiệm thuốc bảo vệ thực vật để đăng ký Chính thức"";id:1.1.6;importantData:Không;masterData:Không;nameSurveyUnit:""Phòng quản lý thuốc bảo vệ thực vật"";nationalConfidentialData:Không;openData:Không;referenceData:Không;sensitivePersonalData:Không"
,Đối tượng khảo nghiệm,Đối tượng khảo nghiệm,"Thông tin đối tượng cây trồng, sinh vật gây hại khảo nghiệm được đăng ký cho thuốc BVTV ",,,,,,user:admin,Approved,"codeDocuments:""- Quyết định 1227/QĐ-TTTV-VP ngày 16/5/2025 quy định chức năng, nhiệm vụ, quyền hạn của phòng Quản lý thuốc BVTV thuộc Cục Trồng trọt và Bảo vệ thực vật  '- Quyết định 1000/QĐ-BNNMT ngày 22/4/2025 về việc công bố chuẩn hóa thủ tục hành chính lĩnh vực trồng trọt và bảo vệ thực vật thuộc phạm vi chức năng quản lý nhà nước của Bộ Nông Nghiệp và Môi trường"";confidentialData:Không;corePersonalData:Không;dataReadiness:1. Có dữ liệu, chưa hệ thống;dataSource:""Hồ sơ giấy"";frequency:""Hàng ngày"";functionsAndDuties:""Cấp Giấy phép khảo nghiệm thuốc bảo vệ thực vật để đăng ký Chính thức"";id:1.1.7;importantData:Không;masterData:Không;nameSurveyUnit:""Phòng quản lý thuốc bảo vệ thực vật"";nationalConfidentialData:Không;openData:Không;referenceData:Không;sensitivePersonalData:Không"
,Cây trồng,Cây trồng,Loại cây trồng đề nghị khảo nghiệm,,,,,,user:admin,Approved,"codeDocuments:""- Quyết định 1227/QĐ-TTTV-VP ngày 16/5/2025 quy định chức năng, nhiệm vụ, quyền hạn của phòng Quản lý thuốc BVTV thuộc Cục Trồng trọt và Bảo vệ thực vật  '- Quyết định 1000/QĐ-BNNMT ngày 22/4/2025 về việc công bố chuẩn hóa thủ tục hành chính lĩnh vực trồng trọt và bảo vệ thực vật thuộc phạm vi chức năng quản lý nhà nước của Bộ Nông Nghiệp và Môi trường"";confidentialData:Không;corePersonalData:Không;dataReadiness:1. Có dữ liệu, chưa hệ thống;dataSource:""Hồ sơ giấy"";frequency:""Hàng ngày"";functionsAndDuties:""Cấp Giấy phép khảo nghiệm thuốc bảo vệ thực vật để đăng ký Chính thức"";id:1.1.7.1;importantData:Không;masterData:Không;nameSurveyUnit:""Phòng quản lý thuốc bảo vệ thực vật"";nationalConfidentialData:Không;openData:Không;referenceData:Không;sensitivePersonalData:Không"
